dataset_key,dataset_label,delay_order,K,tau,theta,sse
sine,Sine Wave Test for Heater 1,2,0.5,120.0,10.0,113509.86374070804
sine,Sine Wave Test for Heater 1,2,0.5,120.0,10.833333333333334,112967.25309002606
sine,Sine Wave Test for Heater 1,2,0.5,120.0,11.666666666666666,112453.08241008937
sine,Sine Wave Test for Heater 1,2,0.5,120.0,12.5,111967.46025554748
sine,Sine Wave Test for Heater 1,2,0.5,120.0,13.333333333333334,111510.45020311819
sine,Sine Wave Test for Heater 1,2,0.5,120.0,14.166666666666668,111082.07149941806
sine,Sine Wave Test for Heater 1,2,0.5,120.0,15.0,110682.29982155924
sine,Sine Wave Test for Heater 1,2,0.5,120.0,15.833333333333334,110311.06814801309
sine,Sine Wave Test for Heater 1,2,0.5,120.0,16.666666666666668,109968.26773617623
sine,Sine Wave Test for Heater 1,2,0.5,120.0,17.5,109653.749202
sine,Sine Wave Test for Heater 1,2,0.5,120.0,18.333333333333336,109367.32369613062
sine,Sine Wave Test for Heater 1,2,0.5,120.0,19.166666666666668,109108.76417025621
sine,Sine Wave Test for Heater 1,2,0.5,120.0,20.0,108877.80672679737
sine,Sine Wave Test for Heater 1,2,0.5,120.0,20.833333333333336,108674.15204465021
sine,Sine Wave Test for Heater 1,2,0.5,120.0,21.666666666666668,108497.46687339613
sine,Sine Wave Test for Heater 1,2,0.5,120.0,22.5,108347.38558820519
sine,Sine Wave Test for Heater 1,2,0.5,120.0,23.333333333333336,108223.5117975552
sine,Sine Wave Test for Heater 1,2,0.5,120.0,24.166666666666668,108125.41999585064
sine,Sine Wave Test for Heater 1,2,0.5,120.0,25.0,108052.65725305886
sine,Sine Wave Test for Heater 1,2,0.5,120.0,25.833333333333336,108004.74493356337
sine,Sine Wave Test for Heater 1,2,0.5,120.0,26.666666666666668,107981.18043656036
sine,Sine Wave Test for Heater 1,2,0.5,120.0,27.5,107981.43895050848
sine,Sine Wave Test for Heater 1,2,0.5,120.0,28.333333333333336,108004.97521435251
sine,Sine Wave Test for Heater 1,2,0.5,120.0,29.166666666666668,108051.22527849642
sine,Sine Wave Test for Heater 1,2,0.5,120.0,30.0,108119.60825878131
sine,Sine Wave Test for Heater 1,2,0.5,123.33333333333333,10.0,114544.50720796059
sine,Sine Wave Test for Heater 1,2,0.5,123.33333333333333,10.833333333333334,114030.5342361836
sine,Sine Wave Test for Heater 1,2,0.5,123.33333333333333,11.666666666666666,113544.64172303404
sine,Sine Wave Test for Heater 1,2,0.5,123.33333333333333,12.5,113086.91630401972
sine,Sine Wave Test for Heater 1,2,0.5,123.33333333333333,13.333333333333334,112657.4006030828
sine,Sine Wave Test for Heater 1,2,0.5,123.33333333333333,14.166666666666668,112256.09391062811
sine,Sine Wave Test for Heater 1,2,0.5,123.33333333333333,15.0,111882.95297101277
sine,Sine Wave Test for Heater 1,2,0.5,123.33333333333333,15.833333333333334,111537.89287685532
sine,Sine Wave Test for Heater 1,2,0.5,123.33333333333333,16.666666666666668,111220.78806647664
sine,Sine Wave Test for Heater 1,2,0.5,123.33333333333333,17.5,110931.47341976795
sine,Sine Wave Test for Heater 1,2,0.5,123.33333333333333,18.333333333333336,110669.7454469
sine,Sine Wave Test for Heater 1,2,0.5,123.33333333333333,19.166666666666668,110435.36356357805
sine,Sine Wave Test for Heater 1,2,0.5,123.33333333333333,20.0,110228.0514460112
sine,Sine Wave Test for Heater 1,2,0.5,123.33333333333333,20.833333333333336,110047.49845835658
sine,Sine Wave Test for Heater 1,2,0.5,123.33333333333333,21.666666666666668,109893.36114514402
sine,Sine Wave Test for Heater 1,2,0.5,123.33333333333333,22.5,109765.26478100286
sine,Sine Wave Test for Heater 1,2,0.5,123.33333333333333,23.333333333333336,109662.80496992126
sine,Sine Wave Test for Heater 1,2,0.5,123.33333333333333,24.166666666666668,109585.54928626154
sine,Sine Wave Test for Heater 1,2,0.5,123.33333333333333,25.0,109533.03894978749
sine,Sine Wave Test for Heater 1,2,0.5,123.33333333333333,25.833333333333336,109504.790527053
sine,Sine Wave Test for Heater 1,2,0.5,123.33333333333333,26.666666666666668,109500.2976516489
sine,Sine Wave Test for Heater 1,2,0.5,123.33333333333333,27.5,109519.03275598603
sine,Sine Wave Test for Heater 1,2,0.5,123.33333333333333,28.333333333333336,109560.4488075114
sine,Sine Wave Test for Heater 1,2,0.5,123.33333333333333,29.166666666666668,109623.98104252682
sine,Sine Wave Test for Heater 1,2,0.5,123.33333333333333,30.0,109709.04869104284
sine,Sine Wave Test for Heater 1,2,0.5,126.66666666666667,10.0,115696.32059553477
sine,Sine Wave Test for Heater 1,2,0.5,126.66666666666667,10.833333333333334,115208.99376954537
sine,Sine Wave Test for Heater 1,2,0.5,126.66666666666667,11.666666666666666,114749.38664453139
sine,Sine Wave Test for Heater 1,2,0.5,126.66666666666667,12.5,114317.5657751257
sine,Sine Wave Test for Heater 1,2,0.5,126.66666666666667,13.333333333333334,113913.55463957277
sine,Sine Wave Test for Heater 1,2,0.5,126.66666666666667,14.166666666666668,113537.3343444972
sine,Sine Wave Test for Heater 1,2,0.5,126.66666666666667,15.0,113188.84443598405
sine,Sine Wave Test for Heater 1,2,0.5,126.66666666666667,15.833333333333334,112867.98381417971
sine,Sine Wave Test for Heater 1,2,0.5,126.66666666666667,16.666666666666668,112574.61174762963
sine,Sine Wave Test for Heater 1,2,0.5,126.66666666666667,17.5,112308.54898260206
sine,Sine Wave Test for Heater 1,2,0.5,126.66666666666667,18.333333333333336,112069.57894177403
sine,Sine Wave Test for Heater 1,2,0.5,126.66666666666667,19.166666666666668,111857.44900601654
sine,Sine Wave Test for Heater 1,2,0.5,126.66666666666667,20.0,111671.87187246705
sine,Sine Wave Test for Heater 1,2,0.5,126.66666666666667,20.833333333333336,111512.52698173202
sine,Sine Wave Test for Heater 1,2,0.5,126.66666666666667,21.666666666666668,111379.06200679846
sine,Sine Wave Test for Heater 1,2,0.5,126.66666666666667,22.5,111271.09439607133
sine,Sine Wave Test for Heater 1,2,0.5,126.66666666666667,23.333333333333336,111188.2129628986
sine,Sine Wave Test for Heater 1,2,0.5,126.66666666666667,24.166666666666668,111129.97951392336
sine,Sine Wave Test for Heater 1,2,0.5,126.66666666666667,25.0,111095.93050865844
sine,Sine Wave Test for Heater 1,2,0.5,126.66666666666667,25.833333333333336,111085.57874279631
sine,Sine Wave Test for Heater 1,2,0.5,126.66666666666667,26.666666666666668,111098.4150478947
sine,Sine Wave Test for Heater 1,2,0.5,126.66666666666667,27.5,111133.91000029026
sine,Sine Wave Test for Heater 1,2,0.5,126.66666666666667,28.333333333333336,111191.51563231787
sine,Sine Wave Test for Heater 1,2,0.5,126.66666666666667,29.166666666666668,111270.66713915771
sine,Sine Wave Test for Heater 1,2,0.5,126.66666666666667,30.0,111370.78457495975
sine,Sine Wave Test for Heater 1,2,0.5,130.0,10.0,116954.71133752029
sine,Sine Wave Test for Heater 1,2,0.5,130.0,10.833333333333334,116492.20585921017
sine,Sine Wave Test for Heater 1,2,0.5,130.0,11.666666666666666,116057.05948236916
sine,Sine Wave Test for Heater 1,2,0.5,130.0,12.5,115649.32035260668
sine,Sine Wave Test for Heater 1,2,0.5,130.0,13.333333333333334,115268.9944438175
sine,Sine Wave Test for Heater 1,2,0.5,130.0,14.166666666666668,114916.04628658862
sine,Sine Wave Test for Heater 1,2,0.5,130.0,15.0,114590.39979989277
sine,Sine Wave Test for Heater 1,2,0.5,130.0,15.833333333333334,114291.93922315894
sine,Sine Wave Test for Heater 1,2,0.5,130.0,16.666666666666668,114020.5101448594
sine,Sine Wave Test for Heater 1,2,0.5,130.0,17.5,113775.92062280192
sine,Sine Wave Test for Heater 1,2,0.5,130.0,18.333333333333336,113557.9423905076
sine,Sine Wave Test for Heater 1,2,0.5,130.0,19.166666666666668,113366.31214342249
sine,Sine Wave Test for Heater 1,2,0.5,130.0,20.0,113200.73289820066
sine,Sine Wave Test for Heater 1,2,0.5,130.0,20.833333333333336,113060.87541796302
sine,Sine Wave Test for Heater 1,2,0.5,130.0,21.666666666666668,112946.37969620503
sine,Sine Wave Test for Heater 1,2,0.5,130.0,22.5,112856.85649186524
sine,Sine Wave Test for Heater 1,2,0.5,130.0,23.333333333333336,112791.88890803262
sine,Sine Wave Test for Heater 1,2,0.5,130.0,24.166666666666668,112751.0340067606
sine,Sine Wave Test for Heater 1,2,0.5,130.0,25.0,112733.82445252559
sine,Sine Wave Test for Heater 1,2,0.5,130.0,25.833333333333336,112739.7701769769
sine,Sine Wave Test for Heater 1,2,0.5,130.0,26.666666666666668,112768.36005778745
sine,Sine Wave Test for Heater 1,2,0.5,130.0,27.5,112819.06360461585
sine,Sine Wave Test for Heater 1,2,0.5,130.0,28.333333333333336,112891.33264541162
sine,Sine Wave Test for Heater 1,2,0.5,130.0,29.166666666666668,112984.60300657903
sine,Sine Wave Test for Heater 1,2,0.5,130.0,30.0,113098.29618079585
sine,Sine Wave Test for Heater 1,2,0.5,133.33333333333334,10.0,118310.19556813856
sine,Sine Wave Test for Heater 1,2,0.5,133.33333333333334,10.833333333333334,117870.83748584449
sine,Sine Wave Test for Heater 1,2,0.5,133.33333333333334,11.666666666666666,117458.47923307901
sine,Sine Wave Test for Heater 1,2,0.5,133.33333333333334,12.5,117073.15206850521
sine,Sine Wave Test for Heater 1,2,0.5,133.33333333333334,13.333333333333334,116714.84595402112
sine,Sine Wave Test for Heater 1,2,0.5,133.33333333333334,14.166666666666668,116383.51030400717
sine,Sine Wave Test for Heater 1,2,0.5,133.33333333333334,15.0,116079.05483496009
sine,Sine Wave Test for Heater 1,2,0.5,133.33333333333334,15.833333333333334,115801.35051251025
sine,Sine Wave Test for Heater 1,2,0.5,133.33333333333334,16.666666666666668,115550.23059188391
sine,Sine Wave Test for Heater 1,2,0.5,133.33333333333334,17.5,115325.49174696073
sine,Sine Wave Test for Heater 1,2,0.5,133.33333333333334,18.333333333333336,115126.89528232036
sine,Sine Wave Test for Heater 1,2,0.5,133.33333333333334,19.166666666666668,114954.16842202502
sine,Sine Wave Test for Heater 1,2,0.5,133.33333333333334,20.0,114807.00566845434
sine,Sine Wave Test for Heater 1,2,0.5,133.33333333333334,20.833333333333336,114685.07022415056
sine,Sine Wave Test for Heater 1,2,0.5,133.33333333333334,21.666666666666668,114587.99546943314
sine,Sine Wave Test for Heater 1,2,0.5,133.33333333333334,22.5,114515.3864884086
sine,Sine Wave Test for Heater 1,2,0.5,133.33333333333334,23.333333333333336,114466.82163595824
sine,Sine Wave Test for Heater 1,2,0.5,133.33333333333334,24.166666666666668,114441.85413830336
sine,Sine Wave Test for Heater 1,2,0.5,133.33333333333334,25.0,114440.01371981151
sine,Sine Wave Test for Heater 1,2,0.5,133.33333333333334,25.833333333333336,114460.80824884993
sine,Sine Wave Test for Heater 1,2,0.5,133.33333333333334,26.666666666666668,114503.72539563323
sine,Sine Wave Test for Heater 1,2,0.5,133.33333333333334,27.5,114568.23429523387
sine,Sine Wave Test for Heater 1,2,0.5,133.33333333333334,28.333333333333336,114653.78720915367
sine,Sine Wave Test for Heater 1,2,0.5,133.33333333333334,29.166666666666668,114759.82117913094
sine,Sine Wave Test for Heater 1,2,0.5,133.33333333333334,30.0,114885.75966714797
sine,Sine Wave Test for Heater 1,2,0.5,136.66666666666666,10.0,119754.26394896439
sine,Sine Wave Test for Heater 1,2,0.5,136.66666666666666,10.833333333333334,119336.51590518613
sine,Sine Wave Test for Heater 1,2,0.5,136.66666666666666,11.666666666666666,118945.410716635
sine,Sine Wave Test for Heater 1,2,0.5,136.66666666666666,12.5,118580.96414219173
sine,Sine Wave Test for Heater 1,2,0.5,136.66666666666666,13.333333333333334,118243.1514900437
sine,Sine Wave Test for Heater 1,2,0.5,136.66666666666666,14.166666666666668,117931.90838524181
sine,Sine Wave Test for Heater 1,2,0.5,136.66666666666666,15.0,117647.13163488086
sine,Sine Wave Test for Heater 1,2,0.5,136.66666666666666,15.833333333333334,117388.68018779537
sine,Sine Wave Test for Heater 1,2,0.5,136.66666666666666,16.666666666666668,117156.37618478059
